Name	Type 1	Type 2	HP	Total	Total	Total	Total	Attack	Defense	Sp. Atk	Sp. Def	Speed	Generation	Legendary
Bulbasaur	Grass	Poison	45	318	318	318	318	49	49	65	65	45	1	False
Ivysaur	Grass	Poison	60	405	405	405	405	62	63	80	80	60	1	False
Venusaur	Grass	Poison	80	525	525	525	525	82	83	100	100	80	1	False
VenusaurMega Venusaur	Grass	Poison	80	625	625	625	625	100	123	122	120	80	1	False
Charmander	Fire		39	309	309	309	309	52	43	60	50	65	1	False
Charmeleon	Fire		58	405	405	405	405	64	58	80	65	80	1	False
Charizard	Fire	Flying	78	534	534	534	534	84	78	109	85	100	1	False
CharizardMega Charizard X	Fire	Dragon	78	634	634	634	634	130	111	130	85	100	1	False
CharizardMega Charizard Y	Fire	Flying	78	634	634	634	634	104	78	159	115	100	1	False
Squirtle	Water		44	314	314	314	314	48	65	50	64	43	1	False
Wartortle	Water		59	405	405	405	405	63	80	65	80	58	1	False
Blastoise	Water		79	530	530	530	530	83	100	85	105	78	1	False
BlastoiseMega Blastoise	Water		79	630	630	630	630	103	120	135	115	78	1	False
Caterpie	Bug		45	195	195	195	195	30	35	20	20	45	1	False
Metapod	Bug		50	205	205	205	205	20	55	25	25	30	1	False
Butterfree	Bug	Flying	60	395	395	395	395	45	50	90	80	70	1	False
Weedle	Bug	Poison	40	195	195	195	195	35	30	20	20	50	1	False
Kakuna	Bug	Poison	45	205	205	205	205	25	50	25	25	35	1	False
Beedrill	Bug	Poison	65	395	395	395	395	90	40	45	80	75	1	False
BeedrillMega Beedrill	Bug	Poison	65	495	495	495	495	150	40	15	80	145	1	False
Pidgey	Normal	Flying	40	251	251	251	251	45	40	35	35	56	1	False
Pidgeotto	Normal	Flying	63	349	349	349	349	60	55	50	50	71	1	False
Pidgeot	Normal	Flying	83	479	479	479	479	80	75	70	70	101	1	False
PidgeotMega Pidgeot	Normal	Flying	83	579	579	579	579	80	80	135	80	121	1	False
Rattata	Normal		30	253	253	253	253	56	35	25	35	72	1	False
Raticate	Normal		55	413	413	413	413	81	60	50	70	97	1	False
Spearow	Normal	Flying	40	262	262	262	262	60	30	31	31	70	1	False
Fearow	Normal	Flying	65	442	442	442	442	90	65	61	61	100	1	False
Ekans	Poison		35	288	288	288	288	60	44	40	54	55	1	False
Arbok	Poison		60	438	438	438	438	85	69	65	79	80	1	False
Pikachu	Electric		35	320	320	320	320	55	40	50	50	90	1	False
Raichu	Electric		60	485	485	485	485	90	55	90	80	110	1	False
Sandshrew	Ground		50	300	300	300	300	75	85	20	30	40	1	False
Sandslash	Ground		75	450	450	450	450	100	110	45	55	65	1	False
Nidoran (Female)	Poison		55	275	275	275	275	47	52	40	40	41	1	False
Nidorina	Poison		70	365	365	365	365	62	67	55	55	56	1	False
Nidoqueen	Poison	Ground	90	505	505	505	505	92	87	75	85	76	1	False
Nidoran (Male)	Poison		46	273	273	273	273	57	40	40	40	50	1	False
Nidorino	Poison		61	365	365	365	365	72	57	55	55	65	1	False
Nidoking	Poison	Ground	81	505	505	505	505	102	77	85	75	85	1	False
Clefairy	Fairy		70	323	323	323	323	45	48	60	65	35	1	False
Clefable	Fairy		95	483	483	483	483	70	73	95	90	60	1	False
Vulpix	Fire		38	299	299	299	299	41	40	50	65	65	1	False
Ninetales	Fire		73	505	505	505	505	76	75	81	100	100	1	False
Jigglypuff	Normal	Fairy	115	270	270	270	270	45	20	45	25	20	1	False
Wigglytuff	Normal	Fairy	140	435	435	435	435	70	45	85	50	45	1	False
Zubat	Poison	Flying	40	245	245	245	245	45	35	30	40	55	1	False
Golbat	Poison	Flying	75	455	455	455	455	80	70	65	75	90	1	False
Oddish	Grass	Poison	45	320	320	320	320	50	55	75	65	30	1	False
Gloom	Grass	Poison	60	395	395	395	395	65	70	85	75	40	1	False
Vileplume	Grass	Poison	75	490	490	490	490	80	85	110	90	50	1	False
Paras	Bug	Grass	35	285	285	285	285	70	55	45	55	25	1	False
Parasect	Bug	Grass	60	405	405	405	405	95	80	60	80	30	1	False
Venonat	Bug	Poison	60	305	305	305	305	55	50	40	55	45	1	False
Venomoth	Bug	Poison	70	450	450	450	450	65	60	90	75	90	1	False
Diglett	Ground		10	265	265	265	265	55	25	35	45	95	1	False
Dugtrio	Ground		35	405	405	405	405	80	50	50	70	120	1	False
Meowth	Normal		40	290	290	290	290	45	35	40	40	90	1	False
Persian	Normal		65	440	440	440	440	70	60	65	65	115	1	False
Psyduck	Water		50	320	320	320	320	52	48	65	50	55	1	False
Golduck	Water		80	500	500	500	500	82	78	95	80	85	1	False
Mankey	Fighting		40	305	305	305	305	80	35	35	45	70	1	False
Primeape	Fighting		65	455	455	455	455	105	60	60	70	95	1	False
Growlithe	Fire		55	350	350	350	350	70	45	70	50	60	1	False
Arcanine	Fire		90	555	555	555	555	110	80	100	80	95	1	False
Poliwag	Water		40	300	300	300	300	50	40	40	40	90	1	False
Poliwhirl	Water		65	385	385	385	385	65	65	50	50	90	1	False
Poliwrath	Water	Fighting	90	510	510	510	510	95	95	70	90	70	1	False
Abra	Psychic		25	310	310	310	310	20	15	105	55	90	1	False
Kadabra	Psychic		40	400	400	400	400	35	30	120	70	105	1	False
Alakazam	Psychic		55	500	500	500	500	50	45	135	95	120	1	False
AlakazamMega Alakazam	Psychic		55	590	590	590	590	50	65	175	95	150	1	False
Machop	Fighting		70	305	305	305	305	80	50	35	35	35	1	False
Machoke	Fighting		80	405	405	405	405	100	70	50	60	45	1	False
Machamp	Fighting		90	505	505	505	505	130	80	65	85	55	1	False
Bellsprout	Grass	Poison	50	300	300	300	300	75	35	70	30	40	1	False
Weepinbell	Grass	Poison	65	390	390	390	390	90	50	85	45	55	1	False
Victreebel	Grass	Poison	80	490	490	490	490	105	65	100	70	70	1	False
Tentacool	Water	Poison	40	335	335	335	335	40	35	50	100	70	1	False
Tentacruel	Water	Poison	80	515	515	515	515	70	65	80	120	100	1	False
Geodude	Rock	Ground	40	300	300	300	300	80	100	30	30	20	1	False
Graveler	Rock	Ground	55	390	390	390	390	95	115	45	45	35	1	False
Golem	Rock	Ground	80	495	495	495	495	120	130	55	65	45	1	False
Ponyta	Fire		50	410	410	410	410	85	55	65	65	90	1	False
Rapidash	Fire		65	500	500	500	500	100	70	80	80	105	1	False
Slowpoke	Water	Psychic	90	315	315	315	315	65	65	40	40	15	1	False
Slowbro	Water	Psychic	95	490	490	490	490	75	110	100	80	30	1	False
SlowbroMega Slowbro	Water	Psychic	95	590	590	590	590	75	180	130	80	30	1	False
Magnemite	Electric	Steel	25	325	325	325	325	35	70	95	55	45	1	False
Magneton	Electric	Steel	50	465	465	465	465	60	95	120	70	70	1	False
Farfetch'd	Normal	Flying	52	352	352	352	352	65	55	58	62	60	1	False
Doduo	Normal	Flying	35	310	310	310	310	85	45	35	35	75	1	False
Dodrio	Normal	Flying	60	460	460	460	460	110	70	60	60	100	1	False
Seel	Water		65	325	325	325	325	45	55	45	70	45	1	False
Dewgong	Water	Ice	90	475	475	475	475	70	80	70	95	70	1	False
Grimer	Poison		80	325	325	325	325	80	50	40	50	25	1	False
Muk	Poison		105	500	500	500	500	105	75	65	100	50	1	False
Shellder	Water		30	305	305	305	305	65	100	45	25	40	1	False
Cloyster	Water	Ice	50	525	525	525	525	95	180	85	45	70	1	False
Gastly	Ghost	Poison	30	310	310	310	310	35	30	100	35	80	1	False
Haunter	Ghost	Poison	45	405	405	405	405	50	45	115	55	95	1	False
Gengar	Ghost	Poison	60	500	500	500	500	65	60	130	75	110	1	False
GengarMega Gengar	Ghost	Poison	60	600	600	600	600	65	80	170	95	130	1	False
Onix	Rock	Ground	35	385	385	385	385	45	160	30	45	70	1	False
Drowzee	Psychic		60	328	328	328	328	48	45	43	90	42	1	False
Hypno	Psychic		85	483	483	483	483	73	70	73	115	67	1	False
Krabby	Water		30	325	325	325	325	105	90	25	25	50	1	False
Kingler	Water		55	475	475	475	475	130	115	50	50	75	1	False
Voltorb	Electric		40	330	330	330	330	30	50	55	55	100	1	False
